id,text,user_id,num_urls,crawled_at,url
4.25E+017,http://t.co/INAHp6psLP,237326341,Sat Jan 18 12:30:55 +0000 2014,2014-11-13 01:33:37,http://t.co/INAHp6psLP
5.29E+017,http://t.co/3joWpc02WD,237332572,Sat Nov 01 15:29:57 +0000 2014,2014-11-13 01:34:08,http://t.co/3joWpc02WD
5.29E+017,http://t.co/4IJcAfq5Zs,237332572,Sat Nov 01 14:02:09 +0000 2014,2014-11-13 01:34:08,http://t.co/4IJcAfq5Zs
5.28E+017,http://t.co/e6wYWVXUZz,237332572,Fri Oct 31 16:55:20 +0000 2014,2014-11-13 01:34:08,http://t.co/e6wYWVXUZz
5.28E+017,http://t.co/G7D9LqD7qL,237332572,Fri Oct 31 14:27:19 +0000 2014,2014-11-13 01:34:08,http://t.co/G7D9LqD7qL
5.28E+017,http://t.co/UrdOOwYy0i,237332572,Thu Oct 30 16:14:44 +0000 2014,2014-11-13 01:34:08,http://t.co/UrdOOwYy0i
5.28E+017,https://t.co/qRtFnqHSdw,237332572,Thu Oct 30 12:54:07 +0000 2014,2014-11-13 01:34:08,https://t.co/qRtFnqHSdw
5.28E+017,http://t.co/SeKXJ9rrp2,237332572,Thu Oct 30 08:48:06 +0000 2014,2014-11-13 01:34:08,http://t.co/SeKXJ9rrp2
5.28E+017,http://t.co/ucLRLPasOO,237332572,Wed Oct 29 22:26:33 +0000 2014,2014-11-13 01:34:08,http://t.co/ucLRLPasOO
5.28E+017,http://t.co/o3PX2meuum,237332572,Wed Oct 29 19:30:39 +0000 2014,2014-11-13 01:34:08,http://t.co/o3PX2meuum
5.26E+017,http://t.co/QuIdNALShn,237332572,Sun Oct 26 13:24:57 +0000 2014,2014-11-13 01:34:08,http://t.co/QuIdNALShn
5.24E+017,http://t.co/qv1cd9V5z8,237332572,Sat Oct 18 17:26:51 +0000 2014,2014-11-13 01:34:08,http://t.co/qv1cd9V5z8
5.23E+017,http://t.co/NDmhnA3rjL,237332572,Thu Oct 16 16:19:08 +0000 2014,2014-11-13 01:34:08,http://t.co/NDmhnA3rjL
5.21E+017,"David Beck - Red, White, and Beef http://t.co/m480wXWS99",237332572,Sun Oct 12 17:41:57 +0000 2014,2014-11-13 01:34:08,http://t.co/m480wXWS99
5.17E+017,http://t.co/4IJcAfq5Zs,237332572,Tue Sep 30 20:37:51 +0000 2014,2014-11-13 01:34:08,http://t.co/4IJcAfq5Zs
5.17E+017,http://t.co/n4xOlifwdQ,237332572,Tue Sep 30 18:36:44 +0000 2014,2014-11-13 01:34:08,http://t.co/n4xOlifwdQ
5.29E+017,http://t.co/rEgPa4uTiY,237346330,Sat Nov 01 15:09:04 +0000 2014,2014-11-13 01:34:45,http://t.co/rEgPa4uTiY
5.29E+017,http://t.co/pDWDiJQmXV,237346330,Sat Nov 01 14:32:02 +0000 2014,2014-11-13 01:34:45,http://t.co/pDWDiJQmXV
5.28E+017,http://t.co/n4PQu1frSD,237346330,Fri Oct 31 18:17:06 +0000 2014,2014-11-13 01:34:45,http://t.co/n4PQu1frSD
5.28E+017,http://t.co/RWDnRIXiko,237346330,Fri Oct 31 14:19:13 +0000 2014,2014-11-13 01:34:45,http://t.co/RWDnRIXiko
5.28E+017,http://t.co/L2yW6x04Tt,237346330,Fri Oct 31 13:07:18 +0000 2014,2014-11-13 01:34:45,http://t.co/L2yW6x04Tt
5.28E+017,http://t.co/wbL9yct2ra,237346330,Wed Oct 29 19:22:38 +0000 2014,2014-11-13 01:34:45,http://t.co/wbL9yct2ra
5.27E+017,Un paese che scambia queste due per esperte di riforme costituzionali è destinato a sparire rapidamente dalla storia. http://t.co/fPh7G9EeEF,237346330,Tue Oct 28 13:30:25 +0000 2014,2014-11-13 01:34:45,http://t.co/fPh7G9EeEF
5.22E+017,http://t.co/bjXBMnSmqK,237346330,Wed Oct 15 06:52:39 +0000 2014,2014-11-13 01:34:46,http://t.co/bjXBMnSmqK
5.3E+017,- http://t.co/wB2oYi7ioP,237359828,Thu Nov 06 17:13:29 +0000 2014,2014-11-13 01:35:24,http://t.co/wB2oYi7ioP
5.29E+017,http://t.co/YgZ5l8OiRZ,237359828,Sat Nov 01 19:01:00 +0000 2014,2014-11-13 01:35:24,http://t.co/YgZ5l8OiRZ
5.29E+017,http://t.co/qzfbTwSfHA,237359828,Sat Nov 01 15:32:17 +0000 2014,2014-11-13 01:35:24,http://t.co/qzfbTwSfHA
5.28E+017,I top 35 tweet del 2013 https://t.co/81Wp3WReff sono solo la preview dei top 100 che arriveranno a breve. Grazie per l'enorme affetto ;-),237359828,Fri Oct 31 13:00:47 +0000 2014,2014-11-13 01:35:24,https://t.co/81Wp3WReff
