id,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_banner_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,created_at,timestamp,crawled_at,updated,bot
191839658,pocahontas farida,wadespeters,202968,2248,981,60304,101,http://t.co/rGV0HIJGsu,en,Greenland,#freePalestine - rip paul,,,1,http://pbs.twimg.com/profile_images/591597924901134337/vemg4ghB_normal.png,https://pbs.twimg.com/profile_banners/191839658/1430155579,1,https://abs.twimg.com/images/themes/theme3/bg.gif,634047,https://pbs.twimg.com/profile_images/591597924901134337/vemg4ghB_normal.png,D3D2CF,,E3E2DE,http://abs.twimg.com/images/themes/theme3/bg.gif,EDECE9,88253,-7200,,,,,,20. menna: #farida #nyc and the 80s actually you | Dragana,,,Fri Sep 17 14:02:10 +0000 2010,2010-09-17 16:02:10,2015-05-01 13:55:16,2016-03-15 15:53:48,0
255846106,Giselle,1GisellePizarro,61294,561,118,590,4,https://t.co/v4qQQ0XDjd,es,Santiago,"Antofagasta, Chile",,,1,http://pbs.twimg.com/profile_images/473648034941661184/GcyGtMfH_normal.jpeg,https://pbs.twimg.com/profile_banners/255846106/1396065298,1,https://pbs.twimg.com/profile_background_images/449758850023833600/x44ZQEvB.jpeg,333333,https://pbs.twimg.com/profile_images/473648034941661184/GcyGtMfH_normal.jpeg,FFFFFF,1,DDEEF6,http://pbs.twimg.com/profile_background_images/449758850023833600/x44ZQEvB.jpeg,C0DEED,0084B4,-14400,,,,,,Hey what's up guys? This is Giselle. I'm 21. College student and FanFiction writer all in one. :) #Rusher #Maslover and more. KENLOS/4 (07/22 and 11/11),,,Tue Feb 22 04:37:34 +0000 2011,2011-02-22 5:37:34,2015-05-01 16:46:13,2016-03-15 15:53:49,0
380322177,Caroline Bell,29PurpleDragons,24581,335,276,10570,4,http://t.co/5fwG7nFWT2,en,Samoa,"Apia, Samoa",,,,http://pbs.twimg.com/profile_images/592159745277964288/cC6N2raD_normal.jpg,https://pbs.twimg.com/profile_banners/380322177/1365802170,,https://pbs.twimg.com/profile_background_images/840938328/f79909b42cd4d8611fd2285d92f257ea.jpeg,BE80D1,https://pbs.twimg.com/profile_images/592159745277964288/cC6N2raD_normal.jpg,FFFFFF,,80808,http://pbs.twimg.com/profile_background_images/840938328/f79909b42cd4d8611fd2285d92f257ea.jpeg,0,93BEE8,-39600,,,,,,John 5: 28-29,,,Mon Sep 26 13:13:48 +0000 2011,2011-09-26 15:13:48,2015-05-02 3:08:30,2016-03-15 15:53:50,0
32988810,2C Development Group,2cdevelopment,2132,232,225,101,56,http://t.co/QXPljvtYS2,en,Central Time (US & Canada),Midwest USA,,,,http://pbs.twimg.com/profile_images/478254884882366466/kMgu4PMx_normal.png,https://pbs.twimg.com/profile_banners/32988810/1427846107,1,https://abs.twimg.com/images/themes/theme14/bg.gif,333333,https://pbs.twimg.com/profile_images/478254884882366466/kMgu4PMx_normal.png,FFFFFF,1,FFFFFF,http://abs.twimg.com/images/themes/theme14/bg.gif,131516,1081DE,-18000,,,,,,"The 2C Digital Agency is determined to make a business in your city successful. Our only question is, will it be yours?",,,Sat Apr 18 19:46:36 +0000 2009,2009-04-18 21:46:36,2015-05-01 16:49:27,2016-03-15 15:53:50,0
21959183,Randee Deason,2hip4tv,10354,1948,2096,3,88,http://t.co/mtQ3mK85p6,en,Pacific Time (US & Canada),"Bay Area, Ca.",,,,http://pbs.twimg.com/profile_images/592936912752496642/VFgJa_rg_normal.jpg,https://pbs.twimg.com/profile_banners/21959183/1430202271,1,https://pbs.twimg.com/profile_background_images/619185492/decohqq67icgt2ql3wmu.jpeg,333333,https://pbs.twimg.com/profile_images/592936912752496642/VFgJa_rg_normal.jpg,0,1,C6C779,http://pbs.twimg.com/profile_background_images/619185492/decohqq67icgt2ql3wmu.jpeg,C6C779,4A9991,-25200,,,,,,KTVU Photojournalist looking for the scoop.  News is in the eye of the beholder.  I hope you like what you see here on my twitter.,,,Thu Feb 26 02:33:21 +0000 2009,2009-02-26 3:33:21,2015-05-01 15:09:01,2016-03-15 15:53:51,0
1553611423,Patricia ❤,3shaa_,18484,271,216,8487,0,http://t.co/aACbecpPJ2,en,Beijing,,,,1,http://pbs.twimg.com/profile_images/590355591773626368/AC1UvwfH_normal.jpg,https://pbs.twimg.com/profile_banners/1553611423/1428858568,1,https://pbs.twimg.com/profile_background_images/378800000143032086/cJSktIfW.png,BF9B91,https://pbs.twimg.com/profile_images/590355591773626368/AC1UvwfH_normal.jpg,C4BAB5,1,C2AEA5,http://pbs.twimg.com/profile_background_images/378800000143032086/cJSktIfW.png,698F91,3B94D9,28800,,,,,,"Jeddy, coffee & cheese",,,Fri Jun 28 17:14:55 +0000 2013,2013-06-28 19:14:55,2015-05-02 8:21:32,2016-03-15 15:53:51,0
839690880,51Talk,51TalkPH,2418,1190,355,1092,11,http://t.co/dPP6R93qeK,en,Beijing,,,,,http://pbs.twimg.com/profile_images/582809873215164416/yukKXMN4_normal.png,https://pbs.twimg.com/profile_banners/839690880/1429521159,1,https://pbs.twimg.com/profile_background_images/582810037766082560/sCpLZxod.png,333333,https://pbs.twimg.com/profile_images/582809873215164416/yukKXMN4_normal.png,0,1,F6FFD1,http://pbs.twimg.com/profile_background_images/582810037766082560/sCpLZxod.png,FCC800,FCC800,28800,,,,,,Teach English Online. Home-Based or Office-Based.,,,Sat Sep 22 12:50:00 +0000 2012,2012-09-22 14:50:00,2015-05-01 18:38:20,2016-03-15 15:53:52,0
143687056,Adrenalin Trip,unionsummer,10839,7842,7836,8329,34,http://t.co/oW7ecOTnE8,en,Wellington,New Zealand,,,1,http://pbs.twimg.com/profile_images/590768335677222912/jgmqqHb8_normal.jpg,https://pbs.twimg.com/profile_banners/143687056/1429592569,1,https://pbs.twimg.com/profile_background_images/533050557267591168/Gt-oXism.jpeg,634047,https://pbs.twimg.com/profile_images/590768335677222912/jgmqqHb8_normal.jpg,FFFFFF,1,E3E2DE,http://pbs.twimg.com/profile_background_images/533050557267591168/Gt-oXism.jpeg,EDECE9,9266CC,43200,,,,,,"0/4 of UJ & 3/4 + band of 5SOS. I'm apart of the #5SOSfam, #JCat, & many other fandoms. Cam Mansel is bae. ily all!",,,Fri May 14 04:08:41 +0000 2010,2010-05-14 6:08:41,2015-05-02 12:23:50,2016-03-15 15:53:52,0
225241810,Tiffany Bailey,777starr,9412,303,325,7304,2,http://t.co/TmZs4W4ZuC,en,,My mind.,,,1,http://pbs.twimg.com/profile_images/593807015807307776/qzc2jr1K_normal.jpg,https://pbs.twimg.com/profile_banners/225241810/1430408827,1,https://pbs.twimg.com/profile_background_images/407815900/982.jpg,1428A8,https://pbs.twimg.com/profile_images/593807015807307776/qzc2jr1K_normal.jpg,0A0303,1,80808,http://pbs.twimg.com/profile_background_images/407815900/982.jpg,171A1A,102ACF,,,,,,,B E A U T I F U L  S O U L                             Snapchat & IG: @tenisestarr,,,Sat Dec 11 02:33:14 +0000 2010,2010-12-11 3:33:14,2015-05-01 15:56:42,2016-03-15 15:53:53,0
325967359,मोगू (छोटा डॉन),9_t_8,16677,1206,49,7008,6,http://t.co/qzaZgQOmrQ,en,Chennai,बड़हिया/Kolkata,1,,1,http://pbs.twimg.com/profile_images/593717369723195392/1qxhHiWR_normal.jpg,https://pbs.twimg.com/profile_banners/325967359/1429798288,1,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/593717369723195392/1qxhHiWR_normal.jpg,C0DEED,,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,19800,,,,,,"Jack of all trades, Master of none.In CA by choice.#मैं_भी_शायर",,,Wed Jun 29 04:44:21 +0000 2011,2011-06-29 6:44:21,2015-05-01 21:38:44,2016-03-15 15:53:54,0
